UpgradeCode,VersionMin,VersionMax,Language,Attributes,Remove,ActionProperty
{161E25B0-97A8-4C1C-BF33-8A70F2428509},5.2.6135.0,,,258,,NEWERVERSIONDETECTED
{161E25B0-97A8-4C1C-BF33-8A70F2428509},1.0.0.0,5.2.6135.0,,256,,OLDERVERSIONBEINGUPGRADED
